"","x","y","inclusion.probabilities","ID","longitude","latitude"
"1",739500,3471100,0.00232558139534884,9428,-114.482393207857,31.3497255199172
"2",729900,3447500,0.0189583497573309,31800,-114.58864485757,31.138915122128
"3",736900,3441700,0.0418472822037871,37345,-114.51664366039,31.0852356123459
"4",733300,3444700,0.0281208727877367,34477,-114.553658660109,31.1130013086291
"5",727500,3455700,0.00232558139534884,23998,-114.611943710925,31.2133078064577
"6",731500,3448700,0.00232558139534884,30668,-114.571599786419,31.1494178002969
"7",740300,3438900,0.0267286397514562,40022,-114.481697085152,31.0593041221057
"8",741500,3468500,0.00232558139534884,11908,-114.462016336246,31.3258753508343
"9",731900,3439900,0.0317475316993892,39030,-114.569430016509,31.0700073499687
"10",744900,3453100,0.0185767119345173,26555,-114.430081089801,31.1863524397146
"11",744100,3465700,0.00232558139534884,14581,-114.4353998181,31.3000939652616
"12",732700,3446500,0.00232558139534884,32764,-114.559529857359,31.1293472810728
"13",735300,3441300,0.00232558139534884,37717,-114.533495985406,31.0819516138383
"14",729500,3459700,0.00293491870266238,20208,-114.590049937495,31.2489760130172
"15",722900,3453100,0.00951066400051701,26445,-114.660772366516,31.1907549796171
"16",733900,3432300,0.0342805193541115,46260,-114.550239608445,31.0010974894073
"17",733500,3452900,0.00232558139534884,26688,-114.549661271355,31.1868823717927
"18",738500,3460500,0.00232558139534884,19493,-114.495426778082,31.2543813771076
"19",740900,3468300,0.0114126866448268,12095,-114.468364926315,31.324197045425
"20",732100,3434700,0.00232558139534884,43971,-114.568528049365,31.0230898203843
"21",741900,3468900,0.00232558139534884,11530,-114.45771918566,31.3293977335567
"22",729900,3451300,0.00232558139534884,28190,-114.587776825823,31.1731720659973
"23",733300,3444700,0.0281208727877367,34477,-114.553658660109,31.1130013086291
"24",738300,3446500,0.0172446836072873,32792,-114.500845942477,31.1282216158356
"25",744900,3453100,0.0185767119345173,26555,-114.430081089801,31.1863524397146
"26",734900,3449300,0.0149340629370218,30115,-114.535822042104,31.1541492744864
"27",732700,3454500,0.00465116279069767,25164,-114.557679320398,31.2014654730554
"28",734100,3432300,0.00232558139534884,46261,-114.548146522788,31.0010577427933
"29",739300,3460900,0.00232558139534884,19117,-114.486936959539,31.2578231070104
"30",736500,3433700,0.00232558139534884,44943,-114.522703285194,31.0131987955614
"31",733300,3444700,0.0281208727877367,34477,-114.553658660109,31.1130013086291
"32",737300,3429500,0.0219427959070755,48937,-114.515312372147,30.9751759567116
"33",731300,3447500,0.00232558139534884,31807,-114.57397177963,31.1386394480038
"34",726500,3455900,0.00232558139534884,23803,-114.622387837773,31.2153052388247
"35",727900,3455100,0.0144778350869285,24570,-114.607884267802,31.2078207814202
"36",734900,3449300,0.0149340629370218,30115,-114.535822042104,31.1541492744864
"37",732300,3446700,0.00232558139534884,32572,-114.563675587849,31.1312296357325
"38",736500,3471500,0.00232558139534884,9033,-114.513808697212,31.3539459360473
"39",738700,3447500,0.00232558139534884,31844,-114.496417472352,31.1371545864515
"40",731900,3439900,0.0317475316993892,39030,-114.569430016509,31.0700073499687
"41",733300,3432700,0.00232558139534884,45877,-114.556426873659,31.0048225206637
"42",736500,3467700,0.00232558139534884,12643,-114.514709707875,31.3196918532669
"43",732100,3430100,0.00232558139534884,48341,-114.569580767976,30.981620488178
"44",735300,3443900,0.00232558139534884,35247,-114.532890019351,31.105389840136
"45",740900,3468300,0.0114126866448268,12095,-114.468364926315,31.324197045425
"46",746500,3457900,0.0189855040111843,22003,-114.412126968419,31.2292819242754
"47",729900,3447500,0.0189583497573309,31800,-114.58864485757,31.138915122128
"48",736900,3441700,0.0418472822037871,37345,-114.51664366039,31.0852356123459
"49",737300,3429500,0.0219427959070755,48937,-114.515312372147,30.9751759567116
"50",743100,3461700,0.00232558139534884,18376,-114.446869517203,31.2642479357308
"51",735300,3437100,0.0244781741706268,41707,-114.534473357964,31.0440896610579
"52",740300,3438900,0.0267286397514562,40022,-114.481697085152,31.0593041221057
"53",731500,3452100,0.0165756601024102,27438,-114.570817386602,31.1800683228232
"54",732700,3434300,0.00232558139534884,44354,-114.562339140417,31.0193652926523
"55",733900,3432300,0.0342805193541115,46260,-114.550239608445,31.0010974894073
"56",735300,3437100,0.0244781741706268,41707,-114.534473357964,31.0440896610579
"57",732900,3464500,0.00232558139534884,15665,-114.553257287651,31.2915719392851
"58",739500,3463500,0.0152847336262275,16648,-114.484216127581,31.2812187490748
"59",737900,3458900,0.0144245762579933,21010,-114.502102420335,31.240081130761
"60",738300,3446500,0.0172446836072873,32792,-114.500845942477,31.1282216158356
"61",744500,3465500,0.0178910237467918,14773,-114.431249793099,31.2982072562021
"62",720900,3460700,0.00433647045313912,19215,-114.680072830871,31.2596524747237
"63",742100,3455900,0.00232558139534884,23881,-114.458763977696,31.2121750149017
"64",726500,3450300,0.00844100934199436,29123,-114.623650280008,31.1648203013225
"65",746500,3457900,0.0189855040111843,22003,-114.412126968419,31.2292819242754
"66",733900,3432300,0.0342805193541115,46260,-114.550239608445,31.0010974894073
"67",744500,3465500,0.0178910237467918,14773,-114.431249793099,31.2982072562021
"68",736900,3441700,0.0418472822037871,37345,-114.51664366039,31.0852356123459
"69",731700,3437300,0.00232558139534884,41499,-114.572120295994,31.0466077973828
"70",729500,3459700,0.00293491870266238,20208,-114.590049937495,31.2489760130172
